Model,Number of Features,Best F1,Best AUC,Best Accuracy,Best TPR,Feature Selection Method
RandomForest,500,0.7918013343217197,0.8376038595550792,0.9186427732079906,0.6905923344947735,gmm test
KNN,20,0.7282927712721355,0.8434122787781323,0.8665863689776734,0.8015098722415794,FNN
MeanEnsemble,20,0.6383158440258925,0.8018193188924897,0.7885135135135135,0.8260162601626015,FNN
RandomForest,20,0.7001433169351496,0.7799891165744824,0.8904524089306698,0.5795586527293846,FNN
KNN,30,0.7677354731837446,0.8724072675292188,0.885017626321974,0.8497096399535424,FNN
MeanEnsemble,30,0.645374763477777,0.822712653200458,0.7755170387779083,0.908362369337979,FNN
RandomForest,30,0.7134431535449254,0.7898540483906338,0.8926086956521739,0.6034843205574913,FNN
KNN,40,0.8223504232445716,0.9098348805665879,0.9110399529964747,0.9077816492450639,FNN
MeanEnsemble,40,0.6871987599350207,0.8466728393557661,0.8156169212690951,0.9031358885017422,FNN
RandomForest,40,0.7488277882740226,0.8090929395807445,0.9066980023501763,0.6321718931475029,FNN
KNN,50,0.822031246532049,0.9188746213136456,0.9089071680376029,0.9370499419279907,FNN
MeanEnsemble,50,0.6830871243914722,0.8507013311891362,0.8058460634547592,0.9321718931475029,FNN
RandomForest,50,0.7458178127557659,0.8067700592090837,0.9056169212690952,0.6275261324041812,FNN
KNN,60,0.8166465792272243,0.9139965725331578,0.9067156286721504,0.9272938443670151,FNN
MeanEnsemble,60,0.6761788977306218,0.8476040219942659,0.7982667450058754,0.9371660859465738,FNN
RandomForest,60,0.730434861718484,0.7942918869748139,0.9023560517038778,0.5983739837398374,FNN
KNN,70,0.8183070244889545,0.9201400225790468,0.9056404230317273,0.9465737514518002,FNN
MeanEnsemble,70,0.7146947214236934,0.8692823436725876,0.8319036427732079,0.9371660859465738,FNN
RandomForest,70,0.7379633305314226,0.8037576244893317,0.9066803760282021,0.6173054587688733,FNN
KNN,100,0.8311745206853782,0.9224291968194407,0.9143243243243242,0.9371660859465738,FNN
MeanEnsemble,100,0.7533833493288379,0.8936076119002948,0.8589894242068155,0.9564459930313589,FNN
RandomForest,100,0.7737989165976782,0.8221132526010575,0.9164512338425382,0.651219512195122,FNN
KNN,200,0.8221757043498524,0.9132562559391829,0.9110340775558168,0.9174216027874564,FNN
MeanEnsemble,200,0.7783443682392645,0.9147023707999319,0.873078730904818,0.9902439024390244,FNN
RandomForest,200,0.7917677520666799,0.8326847948799168,0.9218860164512339,0.6709639953542392,FNN
KNN,500,0.8552910896955643,0.9360399762838789,0.9273325499412456,0.951800232288037,FNN
MeanEnsemble,500,0.8028805094687448,0.9286713286713286,0.8893537015276145,1.0,FNN
RandomForest,500,0.7816499043442164,0.8227617910544739,0.9197179788484137,0.6469221835075494,FNN
